restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
2000,112,342.0,13.439394,540,,12.0,,4.5,,0.0,100.0,,1600.0,,70,,4,,14.0,42.0,30.0,35.0,10.0,25.0
2000,112,343.0,11.81679,820,,54.0,,11.0,,0.5,75.0,,1330.0,,53,,3,,3.0,33.0,15.0,25.0,10.0,30.0
2000,112,344.0,10.829118,430,,10.0,,3.5,,0.0,55.0,,1680.0,,56,,3,,3.0,32.0,30.0,15.0,10.0,25.0
2000,112,345.0,13.086654,760,,37.0,,11.0,,0.0,105.0,,2480.0,,61,,6,,4.0,47.0,15.0,35.0,25.0,25.0
2000,112,346.0,10.05309,330,,8.0,,3.5,,0.0,0.0,,800.0,,55,,5,,5.0,10.0,60.0,30.0,10.0,20.0
2000,113,347.0,2.64555,210,,2.5,,0.0,,0.0,0.0,,1230.0,,41,,2,,4.0,7.0,8.0,40.0,2.0,15.0
2000,113,348.0,2.64555,190,,2.0,,0.0,,0.0,0.0,,270.0,,39,,4,,5.0,8.0,0.0,0.0,0.0,10.0
2000,113,349.0,2.504454,180,,1.5,,0.0,,0.0,0.0,,230.0,,36,,4,,5.0,8.0,0.0,0.0,0.0,10.0
2000,113,350.0,3.068838,220,,4.0,,0.5,,0.0,0.0,,330.0,,41,,4,,3.0,8.0,0.0,0.0,0.0,10.0
2000,113,351.0,2.64555,210,,2.5,,0.5,,0.0,0.0,,340.0,,40,,2,,3.0,7.0,0.0,0.0,0.0,15.0
2000,113,352.0,2.29281,180,,2.0,,0.0,,0.0,0.0,,310.0,,34,,1,,3.0,6.0,0.0,0.0,0.0,10.0
2000,113,353.0,2.680824,220,,4.5,,2.0,,0.0,10.0,,500.0,,37,,2,,3.0,9.0,4.0,0.0,6.0,15.0
2000,113,354.0,2.786646,220,,5.0,,2.0,,0.0,10.0,,660.0,,37,,2,,3.0,9.0,4.0,0.0,6.0,15.0
2000,113,355.0,1.657878,120,,1.0,,0.0,,0.0,0.0,,180.0,,24,,3,,2.0,5.0,0.0,0.0,0.0,8.0
2000,113,356.0,1.657878,130,,1.5,,0.0,,0.0,0.0,,230.0,,25,,1,,2.0,5.0,0.0,0.0,0.0,8.0
2000,113,357.0,2.64555,220,,5.0,,2.5,,0.0,10.0,,370.0,,34,,1,,3.0,9.0,4.0,0.0,6.0,10.0
2000,113,358.0,2.398632,190,,2.5,,0.0,,0.0,0.0,,460.0,,37,,2,,3.0,7.0,0.0,0.0,0.0,15.0
2000,113,359.0,2.64555,220,,3.0,,0.5,,0.0,0.0,,490.0,,40,,2,,3.0,7.0,0.0,0.0,0.0,15.0
2000,113,360.0,3.597948,290,,8.0,,3.5,,0.0,0.0,,780.0,,48,,2,,1.0,8.0,0.0,0.0,10.0,15.0
2000,113,361.0,3.597948,290,,8.0,,3.5,,0.0,0.0,,730.0,,49,,2,,1.0,8.0,0.0,10.0,8.0,15.0
2000,114,362.0,0.38801399999999997,40,,3.5,,2.0,,0.0,10.0,,210.0,,1,,0,,0.0,2.0,4.0,0.0,4.0,0.0
2000,114,363.0,0.493836,60,,4.5,,2.5,,0.0,15.0,,90.0,,0,,0,,0.0,4.0,6.0,0.0,8.0,0.0
2000,114,364.0,0.493836,50,,4.5,,3.0,,0.0,15.0,,90.0,,0,,0,,0.0,3.0,6.0,0.0,8.0,0.0
2000,114,365.0,0.38801399999999997,50,,4.0,,2.5,,0.0,15.0,,140.0,,0,,0,,0.0,2.0,6.0,0.0,8.0,0.0
