item,id
Spicy Italian-Sandwich,283
Steak & Cheese-Sandwich,284
Subway Club®-Sandwich,285
Sweet Onion Chicken Teriyaki-Sandwich,286
Turkey & Bacon Guacamole-Sandwich,287
Turkey Breast-Sandwich,288
Ultimate Meatball Marinara-Sandwich,289
Ultimate Spicy Italian-Sandwich,290
Veggie Delite®-Sandwich,291
BBQ Rib-Salad,292
Black Forest Ham-Salad,293
Chicken & Bacon Ranch-Salad,294
Cold Cut Combo-Salad,295
Italian B.M.T. ®-Salad,296
Meatball Marinara-Salad,297
Oven Roasted Chicken-Salad,298
Roast Beef-Salad,299
Rotisserie-Style Chicken-Salad,300
Southwest Chipotle Chicken Club-Salad,301
Spicy Italian-Salad,302
Steak & Cheese-Salad,303
Steak Club Salad-Salad,304
Subway Club®-Salad,305
Sweet Onion Chicken Teriyaki-Salad,306
Tuna-Salad,307
Turkey Breast-Salad,308
Veggie Delite®-Salad,309
"Bacon, Egg & Cheese-Breakfast",310
"Black Forest Ham, Egg & Cheese-Breakfast",311
Egg & Cheese-Breakfast,312
"Steak, Egg & Cheese-Breakfast",313
Bacon-Extra,314
Caramel Apple Cookie-Extra,315
Chocolate Chip Cookie-Extra,316
Chocolate Chip with M&M’s ®-Extra,317
Chocolate Chunk Cookie-Extra,318
Dark Chocolate Cherry Cookie-Extra,319
Double Chocolate-Extra,320
Oatmeal Raisin Cookie-Extra,321
Pepperoni-Extra,322
Raspberry Cheesecake Cookie-Extra,323
Raspberry Lemonade Cookie-Extra,324
Sugar Cookie-Extra,325
White Chip Macadamia Nut Cookie-Extra,326
BBQ Rib Signature Wrap-Wrap,327
Black Forest Ham-Wrap,328
Chicken & Bacon Ranch Melt-Wrap,329
Chipotle Southwest Steak & Cheese-Wrap,330
Cold Cut Combo-Wrap,331
Cripsy Cauliflower Ranch Signature Wrap-Wrap,332
Italian B.M.T. ®-Wrap,333
Meatball Marinara-Wrap,334
Cauliflower Fritter Curry Signature Wrap-Wrap,335
Oven Roasted Chicken-Wrap,336
Roast Beef-Wrap,337
Rotisserie-Style Chicken-Wrap,338
Savory Rotisserie-Style Chicken Caesar-Wrap,339
Spicy Italian-Wrap,340
Subway Club®-Wrap,341
Sweet Onion Chicken Teriyaki-Wrap,342
Tuna-Wrap,343
Turkey Breast-Wrap,344
"Turkey, Bacon & Guacamole-Wrap",345
Veggie Delite®-Wrap,346
Roasted Garlic-Bread,347
9-Grain Honey Oat-Bread,348
9-Grain Wheat-Bread,349
Artisan Flatbread-Bread,350
Hearty Italian**-Bread,351
Italian-Bread,352
Italian Herbs & Cheese-Bread,353
Jalapeño Cheese-Bread,354
Mini 9-Grain Wheat-Bread,355
Mini Italian-Bread,356
Monterey Cheddar**-Bread,357
Parmesan Oregano**-Bread,358
Rosemary & Sea Salt-Bread,359
Spinach Wrap-Bread,360
Tomato Basil Wrap-Bread,361
American-Cheese,362
Cheddar**-Cheese,363
Monterey Cheddar-Cheese,364
Pepperjack**-Cheese,365
Provolone-Cheese,366
Shredded Mozzarella-Cheese,367
Swiss**-Cheese,368
Bacon-Extras,369
Guacamole-Extras,370
Pepperoni-Extras,371
Chipotle Southwest-Sauces,372
Honey Mustard**-Sauces,373
Light Mayonnaise-Sauces,374
Oil-Sauces,375
Ranch-Sauces,376
Red Wine Vinegar-Sauces,377
Regular Mayonnaise-Sauces,378
Savory Caesar**-Sauces,379
Spicy Brown Mustard-Sauces,380
Subway® Vinaigrette-Sauces,381
Sweet Onion Sauce-Sauces,382
Yellow Mustard-Sauces,383
Banana Peppers-Veggies,384
Black Olives-Veggies,385
Cucumbers-Veggies,386
Green Peppers-Veggies,387
Jalapenos-Veggies,388
Lettuce-Veggies,389
Pickles-Veggies,390
Red Onions-Veggies,391
Spinach-Veggies,392
Tomatoes-Veggies,393
Bacon-Protein,394
Parmesan Cheese-Seasonings,395
Brewed Coffee-Short Coffee,396
Brewed Coffee-Tall Coffee,397
Brewed Coffee-Grande Coffee,398
Brewed Coffee-Venti Coffee,399
Caffè Latte-Short Nonfat Milk,400
Caffè Latte-Short 2% Milk,401
Caffè Latte-Short Soymilk,402
Caffè Latte-Tall Nonfat Milk,403
Caffè Latte-Tall  2% Milk,404
Caffè Latte-Tall  Soymilk,405
Caffè Latte-Grande Nonfat Milk,406
Caffè Latte-Grande 2% Milk,407
Caffè Latte-Grande Soymilk,408
Caffè Latte-Venti Nonfat Milk,409
Caffè Latte-Venti 2% Milk,410
Caffè Latte-Venti Soymilk,411
Caffè Mocha (Without Whipped Cream)-Short Nonfat Milk,412
Caffè Mocha (Without Whipped Cream)-Short 2% Milk,413
Caffè Mocha (Without Whipped Cream)-Short Soymilk,414
Caffè Mocha (Without Whipped Cream)-Tall Nonfat Milk,415
Caffè Mocha (Without Whipped Cream)-Tall 2% Milk,416
Caffè Mocha (Without Whipped Cream)-Tall Soymilk,417
Caffè Mocha (Without Whipped Cream)-Grande Nonfat Milk,418
Caffè Mocha (Without Whipped Cream)-Grande  2% Milk,419
Caffè Mocha (Without Whipped Cream)-Grande  Soymilk,420
Caffè Mocha (Without Whipped Cream)-Venti Nonfat Milk,421
Caffè Mocha (Without Whipped Cream)-Venti 2% Milk,422
Caffè Mocha (Without Whipped Cream)-Venti Soymilk,423
Vanilla Latte (Or Other Flavoured Latte)-Short Nonfat Milk,424
Vanilla Latte (Or Other Flavoured Latte)-Short 2% Milk,425
Vanilla Latte (Or Other Flavoured Latte)-Short Soymilk,426
Vanilla Latte (Or Other Flavoured Latte)-Tall Nonfat Milk,427
Vanilla Latte (Or Other Flavoured Latte)-Tall  2% Milk,428
Vanilla Latte (Or Other Flavoured Latte)-Tall  Soymilk,429
Vanilla Latte (Or Other Flavoured Latte)-Grande Nonfat Milk,430
Vanilla Latte (Or Other Flavoured Latte)-Grande 2% Milk,431
Vanilla Latte (Or Other Flavoured Latte)-Grande Soymilk,432
Vanilla Latte (Or Other Flavoured Latte)-Venti Nonfat Milk,433
Vanilla Latte (Or Other Flavoured Latte)-Venti  2% Milk,434
Vanilla Latte (Or Other Flavoured Latte)-Venti  Soymilk,435
Caffè Americano-Short,436
Caffè Americano-Tall,437
Caffè Americano-Grande,438
Caffè Americano-Venti,439
Cappuccino-Short Nonfat Milk,440
Cappuccino-Short  2% Milk,441
Cappuccino-Short  Soymilk,442
Cappuccino-Tall Nonfat Milk,443
Cappuccino-Tall 2% Milk,444
Cappuccino-Tall Soymilk,445
Cappuccino-Grande Nonfat Milk,446
Cappuccino-Grande 2% Milk,447
Cappuccino-Grande Soymilk,448
Cappuccino-Venti Nonfat Milk,449
Cappuccino-Venti  2% Milk,450
Cappuccino-Venti  Soymilk,451
Espresso-Solo,452
Espresso-Doppio,453
Skinny Latte (Any Flavour)-Short Nonfat Milk,454
Skinny Latte (Any Flavour)-Tall Nonfat Milk,455
Skinny Latte (Any Flavour)-Grande Nonfat Milk,456
Skinny Latte (Any Flavour)-Venti Nonfat Milk,457
Caramel Macchiato-Short Nonfat Milk,458
Caramel Macchiato-Short 2% Milk,459
Caramel Macchiato-Short Soymilk,460
Caramel Macchiato-Tall Nonfat Milk,461
Caramel Macchiato-Tall  2% Milk,462
Caramel Macchiato-Tall  Soymilk,463
Caramel Macchiato-Grande Nonfat Milk,464
Caramel Macchiato-Grande 2% Milk,465
Caramel Macchiato-Grande Soymilk,466
Caramel Macchiato-Venti Nonfat Milk,467
Caramel Macchiato-Venti 2% Milk,468
Caramel Macchiato-Venti Soymilk,469
White Chocolate Mocha (Without Whipped Cream)-Short Nonfat Milk,470
White Chocolate Mocha (Without Whipped Cream)-Short 2% Milk,471
White Chocolate Mocha (Without Whipped Cream)-Short Soymilk,472
White Chocolate Mocha (Without Whipped Cream)-Tall Nonfat Milk,473
White Chocolate Mocha (Without Whipped Cream)-Tall  2% Milk,474
White Chocolate Mocha (Without Whipped Cream)-Tall  Soymilk,475
White Chocolate Mocha (Without Whipped Cream)-Grande Nonfat Milk,476
White Chocolate Mocha (Without Whipped Cream)-Grande 2% Milk,477
White Chocolate Mocha (Without Whipped Cream)-Grande Soymilk,478
White Chocolate Mocha (Without Whipped Cream)-Venti Nonfat Milk,479
White Chocolate Mocha (Without Whipped Cream)-Venti 2% Milk,480
White Chocolate Mocha (Without Whipped Cream)-Venti Soymilk,481
Hot Chocolate (Without Whipped Cream)-Short Nonfat Milk,482
Hot Chocolate (Without Whipped Cream)-Short 2% Milk,483
Hot Chocolate (Without Whipped Cream)-Short Soymilk,484
Hot Chocolate (Without Whipped Cream)-Tall Nonfat Milk,485
Hot Chocolate (Without Whipped Cream)-Tall  2% Milk,486
Hot Chocolate (Without Whipped Cream)-Tall  Soymilk,487
Hot Chocolate (Without Whipped Cream)-Grande Nonfat Milk,488
Hot Chocolate (Without Whipped Cream)-Grande 2% Milk,489
Hot Chocolate (Without Whipped Cream)-Grande Soymilk,490
Hot Chocolate (Without Whipped Cream)-Venti Nonfat Milk,491
Hot Chocolate (Without Whipped Cream)-Venti  2% Milk,492
Hot Chocolate (Without Whipped Cream)-Venti  Soymilk,493
Caramel Apple Spice (Without Whipped Cream)-Short,494
Caramel Apple Spice (Without Whipped Cream)-Tall,495
Caramel Apple Spice (Without Whipped Cream)-Grande,496
Caramel Apple Spice (Without Whipped Cream)-Venti,497
Tazo® Tea-Short,498
Tazo® Tea-Tall,499
Tazo® Tea-Grande,500
Tazo® Tea-Venti,501
Tazo® Chai Tea Latte-Short Nonfat Milk,502
Tazo® Chai Tea Latte-Short 2% Milk,503
Tazo® Chai Tea Latte-Short Soymilk,504
Tazo® Chai Tea Latte-Tall Nonfat Milk,505
Tazo® Chai Tea Latte-Tall  2% Milk,506
Tazo® Chai Tea Latte-Tall  Soymilk,507
Tazo® Chai Tea Latte-Grande Nonfat Milk,508
Tazo® Chai Tea Latte-Grande 2% Milk,509
Tazo® Chai Tea Latte-Grande Soymilk,510
Tazo® Chai Tea Latte-Venti Nonfat Milk,511
Tazo® Chai Tea Latte-Venti  2% Milk,512
Tazo® Chai Tea Latte-Venti  Soymilk,513
Tazo® Green Tea Latte-Short Nonfat Milk,514
Tazo® Green Tea Latte-Short 2% Milk,515
Tazo® Green Tea Latte-Short Soymilk,516
Tazo® Green Tea Latte-Tall Nonfat Milk,517
Tazo® Green Tea Latte-Tall 2% Milk,518
Tazo® Green Tea Latte-Tall Soymilk,519
Tazo® Green Tea Latte-Grande Nonfat Milk,520
Tazo® Green Tea Latte-Grande 2% Milk,521
Tazo® Green Tea Latte-Grande Soymilk,522
Tazo® Green Tea Latte-Venti Nonfat Milk,523
Tazo® Green Tea Latte-Venti 2% Milk,524
Tazo® Green Tea Latte-Venti Soymilk,525
Tazo® Full-Leaf Tea Latte-Short Nonfat Milk,526
Tazo® Full-Leaf Tea Latte-Short 2% Milk,527
Tazo® Full-Leaf Tea Latte-Short Soymilk,528
Tazo® Full-Leaf Tea Latte-Tall Nonfat Milk,529
Tazo® Full-Leaf Tea Latte-Tall 2% Milk,530
Tazo® Full-Leaf Tea Latte-Tall Soymilk,531
Tazo® Full-Leaf Tea Latte-Grande Nonfat Milk,532
Tazo® Full-Leaf Tea Latte-Grande  2% Milk,533
Tazo® Full-Leaf Tea Latte-Grande  Soymilk,534
Tazo® Full-Leaf Tea Latte-Venti Nonfat Milk,535
Tazo® Full-Leaf Tea Latte-Venti 2% Milk,536
Tazo® Full-Leaf Tea Latte-Venti Soymilk,537
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Short Nonfat Milk,538
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Short 2% Milk,539
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Short Soymilk,540
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Tall Nonfat Milk,541
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Tall 2% Milk,542
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Tall Soymilk,543
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Grande Nonfat Milk,544
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Grande 2% Milk,545
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Grande Soymilk,546
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Venti Nonfat Milk,547
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Venti 2% Milk,548
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)-Venti Soymilk,549
Iced Brewed Coffee (With Classic Syrup)-Tall,550
Iced Brewed Coffee (With Classic Syrup)-Grande,551
Iced Brewed Coffee (With Classic Syrup)-Venti,552
Iced Brewed Coffee (With Milk & Classic Syrup)-Tall Nonfat Milk,553
Iced Brewed Coffee (With Milk & Classic Syrup)-Tall  2% Milk,554
Iced Brewed Coffee (With Milk & Classic Syrup)-Tall Soymilk,555
Iced Brewed Coffee (With Milk & Classic Syrup)-Grande Nonfat Milk,556
Iced Brewed Coffee (With Milk & Classic Syrup)-Grande 2% Milk,557
Iced Brewed Coffee (With Milk & Classic Syrup)-Grande Soymilk,558
Iced Brewed Coffee (With Milk & Classic Syrup)-Venti Nonfat Milk,559
Iced Brewed Coffee (With Milk & Classic Syrup)-Venti  2% Milk,560
Iced Brewed Coffee (With Milk & Classic Syrup)-Venti  Soymilk,561
Shaken Iced Tazo® Tea (With Classic Syrup)-Tall,562
Shaken Iced Tazo® Tea (With Classic Syrup)-Grande,563
Shaken Iced Tazo® Tea (With Classic Syrup)-Venti,564
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Tall,565
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Grande,566
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Venti,567
Banana Chocolate Smoothie-Grande Nonfat Milk,568
Banana Chocolate Smoothie-Grande 2% Milk,569
Banana Chocolate Smoothie-Grande Soymilk,570
Orange Mango Banana Smoothie-Tall Nonfat Milk,571
Orange Mango Banana Smoothie-Tall 2% Milk,572
Orange Mango Banana Smoothie-Tall Soymilk,573
Strawberry Banana Smoothie-Grande Nonfat Milk,574
Strawberry Banana Smoothie-Grande 2% Milk,575
Strawberry Banana Smoothie-Grande Soymilk,576
Coffee-Tall Nonfat Milk,577
Coffee-Tall Whole Milk,578
Coffee-Tall Soymilk,579
Coffee-Grande Nonfat Milk,580
Coffee-Grande Whole Milk,581
Coffee-Grande Soymilk,582
Coffee-Venti Nonfat Milk,583
Coffee-Venti Whole Milk,584
Coffee-Venti  Soymilk,585
Mocha (Without Whipped Cream)-Tall Nonfat Milk,586
Mocha (Without Whipped Cream)-Tall Whole Milk,587
Mocha (Without Whipped Cream)-Tall Soymilk,588
Mocha (Without Whipped Cream)-Grande Nonfat Milk,589
Mocha (Without Whipped Cream)-Grande Whole Milk,590
Mocha (Without Whipped Cream)-Grande Soymilk,591
Mocha (Without Whipped Cream)-Venti Nonfat Milk,592
Mocha (Without Whipped Cream)-Venti Whole Milk,593
Mocha (Without Whipped Cream)-Venti Soymilk,594
Caramel (Without Whipped Cream)-Tall Nonfat Milk,595
Caramel (Without Whipped Cream)-Tall Whole Milk,596
Caramel (Without Whipped Cream)-Tall Soymilk,597
Caramel (Without Whipped Cream)-Grande Nonfat Milk,598
Caramel (Without Whipped Cream)-Grande Whole Milk,599
Caramel (Without Whipped Cream)-Grande Soymilk,600
Caramel (Without Whipped Cream)-Venti Nonfat Milk,601
Caramel (Without Whipped Cream)-Venti Whole Milk,602
Caramel (Without Whipped Cream)-Venti  Soymilk,603
Java Chip (Without Whipped Cream)-Tall Nonfat Milk,604
Java Chip (Without Whipped Cream)-Tall Whole Milk,605
Java Chip (Without Whipped Cream)-Tall Soymilk,606
Java Chip (Without Whipped Cream)-Grande Nonfat Milk,607
Java Chip (Without Whipped Cream)-Grande Whole Milk,608
Java Chip (Without Whipped Cream)-Grande Soymilk,609
Java Chip (Without Whipped Cream)-Venti Nonfat Milk,610
Java Chip (Without Whipped Cream)-Venti  Whole Milk,611
Java Chip (Without Whipped Cream)-Venti Soymilk,612
Light Blended Coffee-Tall Nonfat Milk,613
Light Blended Coffee-Grande Nonfat Milk,614
Light Blended Coffee-Venti Nonfat Milk,615
Mocha-Tall Nonfat Milk,616
Mocha-Grande Nonfat Milk,617
Mocha-Venti Nonfat Milk,618
Caramel-Tall Nonfat Milk,619
Caramel-Grande Nonfat Milk,620
Caramel-Venti Nonfat Milk,621
Java Chip-Tall Nonfat Milk,622
Java Chip-Grande Nonfat Milk,623
Java Chip-Venti Nonfat Milk,624
Strawberries & Crème (Without Whipped Cream)-Tall Nonfat Milk,625
Strawberries & Crème (Without Whipped Cream)-Tall  Whole Milk,626
Strawberries & Crème (Without Whipped Cream)-Tall  Soymilk,627
Strawberries & Crème (Without Whipped Cream)-Grande Nonfat Milk,628
Strawberries & Crème (Without Whipped Cream)-Grande Whole Milk,629
Strawberries & Crème (Without Whipped Cream)-Grande Soymilk,630
Strawberries & Crème (Without Whipped Cream)-Venti Nonfat Milk,631
Strawberries & Crème (Without Whipped Cream)-Venti Whole Milk,632
Strawberries & Crème (Without Whipped Cream)-Venti  Soymilk,633
Vanilla Bean (Without Whipped Cream)-Tall Nonfat Milk,634
Vanilla Bean (Without Whipped Cream)-Tall  Whole Milk,635
Vanilla Bean (Without Whipped Cream)-Tall Soymilk,636
Vanilla Bean (Without Whipped Cream)-Grande Nonfat Milk,637
Chonga Bagel,638
8-Grain Roll,639
Almond Croissant,640
Apple Fritter,641
Banana Nut Bread,642
